trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.25, 'e': 0.6299999999999997}",25,0,-4.883196409266053,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.25, 'e': 0.6249999999999997}",20,0,11.83104535822936,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.25, 'e': 0.6199999999999997}",20,5,-39.172330351610476,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.25, 'e': 0.6149999999999997}",25,0,-121.149899509807,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.25, 'e': 0.6099999999999997}",20,0,-19.311295536671164,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
79,False,"{'a': 0.25, 'e': 0.6049999999999996}",25,1,-57.72805930249968,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.25, 'e': 0.5999999999999996}",25,0,-89.58740299536284,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.25, 'e': 0.5949999999999996}",25,0,-18.746432789814353,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.25, 'e': 0.5899999999999996}",35,24,8.845870562235016,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.25, 'e': 0.5849999999999996}",20,6,14.218967801470232,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.25, 'e': 0.5799999999999996}",25,0,-56.43415173660299,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.25, 'e': 0.5749999999999996}",30,0,-233.18176641257435,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
86,False,"{'a': 0.25, 'e': 0.5699999999999996}",20,0,12.001629277599688,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.25, 'e': 0.5649999999999996}",20,3,1.5590499312619173,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.25, 'e': 0.5599999999999996}",20,0,-44.38862762070557,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.25, 'e': 0.5549999999999996}",25,10,-120.60169500271182,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
90,False,"{'a': 0.25, 'e': 0.5499999999999996}",20,1,-23.658330051892474,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
91,False,"{'a': 0.25, 'e': 0.5449999999999996}",20,7,-17.716716296205167,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.25, 'e': 0.5399999999999996}",20,15,1.0900482258091826,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.25, 'e': 0.5349999999999996}",20,0,-34.62803889936152,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.25, 'e': 0.5299999999999996}",20,0,-25.28799365223705,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.25, 'e': 0.5249999999999996}",35,18,24.48072285895573,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.25, 'e': 0.5199999999999996}",20,0,-92.45794919238868,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
97,False,"{'a': 0.25, 'e': 0.5149999999999996}",20,0,-23.91452871227832,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.25, 'e': 0.5099999999999996}",20,15,-3.4370860797338776,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.25, 'e': 0.5049999999999996}",20,1,-30.38533145358716,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.25, 'e': 0.49999999999999956}",25,0,-54.060925847428024,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.25, 'e': 0.49499999999999955}",35,0,-62.43849279119461,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.25, 'e': 0.48999999999999955}",20,0,-38.064332415586954,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.25, 'e': 0.48499999999999954}",25,0,-46.92909166061694,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
104,False,"{'a': 0.25, 'e': 0.47999999999999954}",25,2,-25.27318825476881,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.25, 'e': 0.47499999999999953}",20,8,-58.39376970044644,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
106,False,"{'a': 0.25, 'e': 0.46999999999999953}",20,0,-60.25451306305736,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.25, 'e': 0.4649999999999995}",25,3,-65.71535359431675,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
108,False,"{'a': 0.25, 'e': 0.4599999999999995}",25,17,-5.489283597904506,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.25, 'e': 0.4549999999999995}",30,15,-51.842575317728624,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.25, 'e': 0.4499999999999995}",30,22,14.63052285339635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.25, 'e': 0.4449999999999995}",25,0,26.178876264501607,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.25, 'e': 0.4399999999999995}",30,11,-23.5510625051638,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.25, 'e': 0.4349999999999995}",25,9,18.19133519163796,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.25, 'e': 0.4299999999999995}",30,0,16.785692686285945,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.25, 'e': 0.4249999999999995}",20,1,-15.474417685914375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.25, 'e': 0.4199999999999995}",25,5,-50.959317934000694,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.25, 'e': 0.4149999999999995}",30,0,13.380235945920353,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.25, 'e': 0.4099999999999995}",20,16,5.907968675210786,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.25, 'e': 0.40499999999999947}",25,0,-37.64110316220958,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.25, 'e': 0.39999999999999947}",20,3,-55.05975983432516,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.25, 'e': 0.39499999999999946}",20,9,17.043503911384434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.25, 'e': 0.38999999999999946}",20,0,-3.349124128498814,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.25, 'e': 0.38499999999999945}",20,1,-94.69066032669875,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
124,False,"{'a': 0.25, 'e': 0.37999999999999945}",25,0,-23.996489735993492,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.25, 'e': 0.37499999999999944}",25,12,1.6858373432443121,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.25, 'e': 0.36999999999999944}",30,18,3.0586491119756536,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.25, 'e': 0.36499999999999944}",25,11,16.534090939937855,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.25, 'e': 0.35999999999999943}",25,11,23.42038043435171,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.25, 'e': 0.3549999999999994}",20,12,13.026951427154398,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.25, 'e': 0.3499999999999994}",20,5,-9.291203796059559,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.25, 'e': 0.3449999999999994}",30,6,29.78411357472909,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.25, 'e': 0.3399999999999994}",20,0,-66.60516819327952,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
133,False,"{'a': 0.25, 'e': 0.3349999999999994}",25,5,8.027685790785258,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.25, 'e': 0.3299999999999994}",25,11,6.867892313873195,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.25, 'e': 0.3249999999999994}",20,0,-44.51963843385856,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.25, 'e': 0.3199999999999994}",20,8,-0.22491265635969127,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.25, 'e': 0.3149999999999994}",25,11,5.571489672782375,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.25, 'e': 0.3099999999999994}",20,6,-29.302463323944853,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.25, 'e': 0.3049999999999994}",20,2,-3.983224537173407,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.2999999999999994}",25,15,-3.076117688942535,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.2949999999999994}",25,2,4.457944484275122,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.25, 'e': 0.28999999999999937}",30,4,-9.170143479199156,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.25, 'e': 0.28499999999999936}",20,15,6.972002578987423,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.25, 'e': 0.27999999999999936}",25,17,14.40286146747642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.25, 'e': 0.27499999999999936}",25,10,14.655461701301633,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.25, 'e': 0.26999999999999935}",20,2,-12.965403768721481,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.25, 'e': 0.26499999999999935}",20,3,7.147299457847945,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.25999999999999934}",25,16,-42.11339037646621,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.25, 'e': 0.25499999999999934}",20,14,-29.556424679790517,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.25, 'e': 0.24999999999999933}",20,0,-0.1072320036637211,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
151,False,"{'a': 0.25, 'e': 0.24499999999999933}",25,13,6.668259136728049,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.23999999999999932}",25,0,6.475835994702589,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
153,False,"{'a': 0.25, 'e': 0.23499999999999932}",20,11,16.482810078932562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.25, 'e': 0.22999999999999932}",30,6,17.14450354530721,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.25, 'e': 0.2249999999999993}",20,6,0.3650692389542036,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.25, 'e': 0.2199999999999993}",25,17,-1.8102231797185069,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.25, 'e': 0.2149999999999993}",25,17,18.46190304726798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.25, 'e': 0.2099999999999993}",20,7,-45.91968973546254,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.25, 'e': 0.2049999999999993}",20,6,4.882299751211684,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.1999999999999993}",20,0,-61.807108893047506,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
161,False,"{'a': 0.25, 'e': 0.19499999999999929}",25,2,10.563284238800632,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.25, 'e': 0.18999999999999928}",20,1,-28.11345025138273,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.25, 'e': 0.18499999999999928}",20,14,-27.127740759143265,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.25, 'e': 0.17999999999999927}",20,15,8.643830733037946,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.25, 'e': 0.17499999999999927}",20,12,-31.243760705573017,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.25, 'e': 0.16999999999999926}",30,16,16.787659382046662,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.25, 'e': 0.16499999999999926}",20,10,17.001231040253707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.25, 'e': 0.15999999999999925}",20,0,22.91689132775603,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.25, 'e': 0.15499999999999925}",25,8,-31.141651070809658,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.25, 'e': 0.14999999999999925}",30,21,14.53790272762118,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.14499999999999924}",30,23,15.49729300342749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.25, 'e': 0.13999999999999924}",35,18,32.411611809517254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.13499999999999923}",25,8,-4.926297721853116,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.12999999999999923}",25,0,16.742406825017138,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.25, 'e': 0.12499999999999922}",25,15,-10.5796317511147,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.11999999999999922}",25,11,-32.69325680123048,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.11499999999999921}",20,10,17.37576719690895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.25, 'e': 0.10999999999999921}",25,18,13.343600214024182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.25, 'e': 0.1049999999999992}",25,7,30.93365848296132,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.25, 'e': 0.0999999999999992}",20,7,22.6201466835522,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.25, 'e': 0.0949999999999992}",25,2,35.442607111295814,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.25, 'e': 0.08999999999999919}",20,13,10.899720748943995,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.25, 'e': 0.08499999999999919}",25,9,29.831276961623004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
